subject,total_queries,time(secs)
EtherstoreReentrancy-Mode.epa,21,261.52
EtherstoreReentrancyFixed-Mode.epa,18,410.25
ReentranceReentrancy-Mode.epa,16,310.87
ReentranceReentrancyFixed-Mode.epa,14,694.93
Reentrancy_daoReentrancy-Mode.epa,22,396.34
Reentrancy_daoReentrancyFixed-Mode.epa,11,345.97
Reentrancy_simpleReentrancy-Mode.epa,22,610.8
Reentrancy_simpleReentrancyFixed-Mode.epa,11,761.74
Simple_daoReentrancy-Mode.epa,16,197.7
Simple_daoReentrancyFixed-Mode.epa,14,701.0
AssetTransfer-Mode.states,64,130.55
AssetTransferFixed-Mode.states,64,129.56
Auction-Mode.epa,3,6.69
AuctionEnded-Mode.epa,3,6.47
AuctionWithdraw-Mode.epa,4,10.82
BasicProvenance-Mode.states,2,3.26
BasicProvenanceFixed-Mode.states,2,3.28
CrowdfundingTime_Base-Mode.epa,3,5.51
CrowdfundingTime_BaseBalance-Mode.epa,7,15.07
CrowdfundingTime_BaseBalanceFix-Mode.epa,6,11.77
DefectiveComponentCounter-Mode.states,1,1.43
DefectiveComponentCounterFixed-Mode.states,1,1.42
DigitalLocker-Mode.states,23,41.79
DigitalLockerFixed-Mode.states,23,41.25
EPXCrowdsale-Mode.epa,4,18.51
EPXCrowdsale-Mode.states,16,99.75
EPXCrowdsaleIsCrowdsaleClosed-Mode.epa,7,32.55
EscrowVault-Mode.epa,5,9.4
EscrowVault-Mode.states,9,16.51
EtherstoreOriginalReentrancy-Mode.epa,3,210.72
FrequentFlyerRewardsCalculator-Mode.states,1,1.67
HelloBlockchain-Mode.states,1,1.52
HelloBlockchainFixed-Mode.states,1,1.56
ReentranceOriginalReentrancy-Mode.epa,3,382.51
Reentrancy_daoOriginalReentrancy-Mode.epa,3,47.48
Reentrancy_simpleOriginalReentrancy-Mode.epa,3,47.71
RefrigeratedTransportation-Mode.states,4,7.24
RefrigeratedTransportationFixed-Mode.states,4,7.24
RefundEscrow-Mode.epa,4,7.94
RefundEscrow-Mode.states,4,7.57
RefundEscrowWithdraw-Mode.epa,7,16.53
RockPaperScissors-Mode.epa,3,5.44
RockPaperScissors-Mode.states,8,15.89
RoomThermostat-Mode.states,1,1.6
SimpleAuction-Mode.epa,8,18.9
SimpleAuctionEnded-Mode.epa,8,18.97
SimpleAuctionHB-Mode.states,10,27.93
SimpleAuctionTime-Mode.epa,12,25.73
SimpleMarketplace-Mode.states,2,3.21
SimpleMarketplaceFixed-Mode.states,2,3.19
Simple_daoOriginalReentrancy-Mode.epa,3,388.54
ValidatorAuction-Mode.epa,7,26.2
ValidatorAuction-Mode.states,10,72.81
ValidatorAuction_withdraw-Mode.epa,13,59.79
